beta_mult,eps,seed,rec,phi_func,rho_func,act_child,inv
1.0,0.004,0,0.1595,69.4,0.99,0.821,"[[0.99, 69.4], [0.972, -3.5]]"
1.0,0.004,1,0.3743,74.2,0.973,0.833,"[[0.973, 74.2], [0.96, 2.4]]"
1.0,0.004,2,0.2337,47.4,0.986,0.625,"[[0.987, -30.3], [0.986, 47.4]]"
1.0,0.004,3,0.0857,45.2,0.991,0.601,"[[0.991, 45.2], [0.99, -30.1]]"
1.0,0.004,4,0.0911,45.7,0.975,0.597,"[[0.984, -27.2], [0.975, 45.7]]"
1.0,0.004,5,0.2155,75.2,0.986,0.849,"[[0.986, 75.2], [0.979, 1.5]]"
1.0,0.004,6,0.0857,45.4,0.985,0.6,"[[0.985, 45.4], [0.972, -33.6]]"
1.0,0.004,7,0.1732,77.2,0.973,0.845,"[[0.978, -1.7], [0.973, 77.2]]"
1.0,0.007,0,0.2253,71.5,0.991,0.836,"[[0.991, 71.5], [0.971, -2.5]]"
1.0,0.007,1,0.1508,77.4,0.961,0.834,"[[0.961, 77.4], [0.96, 3.6]]"
1.0,0.007,2,0.1592,74.3,0.987,0.846,"[[0.987, 74.3], [0.971, -1.6]]"
1.0,0.007,3,0.2314,45.4,0.992,0.606,"[[0.992, 45.4], [0.988, -29.4]]"
1.0,0.007,4,0.093,45.8,0.975,0.599,"[[0.985, -27.0], [0.975, 45.8]]"
1.0,0.007,5,0.0854,76.3,0.987,0.852,"[[0.987, 76.3], [0.978, 1.4]]"
1.0,0.007,6,0.1553,45.6,0.986,0.603,"[[0.986, 45.6], [0.975, -33.0]]"
1.0,0.007,7,0.1728,78.3,0.973,0.849,"[[0.98, -1.3], [0.973, 78.3]]"
1.0,0.01,0,0.3126,45.9,0.975,0.599,"[[0.982, -30.9], [0.975, 45.9]]"
1.0,0.01,1,0.089,78.7,0.961,0.84,"[[0.961, 78.7], [0.959, 4.0]]"
1.0,0.01,2,0.1549,75.3,0.987,0.85,"[[0.987, 75.3], [0.975, -1.4]]"
1.0,0.01,3,0.1617,70.8,0.984,0.824,"[[0.984, 70.8], [0.974, -1.1]]"
1.0,0.01,4,0.3109,75.9,0.98,0.848,"[[0.981, -1.6], [0.98, 75.9]]"
1.0,0.01,5,0.0835,77.6,0.986,0.857,"[[0.986, 77.6], [0.978, 1.7]]"
1.0,0.01,6,0.09,78.9,0.976,0.853,"[[0.976, 78.9], [0.956, 1.9]]"
1.0,0.01,7,0.0947,79.1,0.972,0.851,"[[0.979, -1.0], [0.972, 79.1]]"
1.0,0.0125,0,0.1556,73.3,0.99,0.844,"[[0.99, 73.3], [0.971, -1.8]]"
1.0,0.0125,1,0.2387,78.8,0.965,0.844,"[[0.965, 78.8], [0.958, 4.4]]"
1.0,0.0125,2,0.3085,76.3,0.989,0.858,"[[0.989, 76.3], [0.971, -1.5]]"
1.0,0.0125,3,0.2957,45.7,0.991,0.609,"[[0.991, 45.7], [0.99, -29.7]]"
1.0,0.0125,4,0.1597,76.9,0.979,0.85,"[[0.98, -1.0], [0.979, 76.9]]"
1.0,0.0125,5,0.1603,45.1,0.981,0.596,"[[0.981, 45.1], [0.981, -28.8]]"
1.0,0.0125,6,0.2271,79.1,0.977,0.855,"[[0.977, 79.1], [0.957, 1.8]]"
1.0,0.0125,7,0.1606,47.0,0.98,0.614,"[[0.986, -27.0], [0.98, 47.0]]"
1.0,0.015,0,0.0933,73.9,0.989,0.846,"[[0.989, 73.9], [0.969, -1.6]]"
1.0,0.015,1,0.3712,78.9,0.966,0.845,"[[0.966, 78.9], [0.964, 4.2]]"
1.0,0.015,2,0.287,76.0,0.988,0.856,"[[0.988, 76.0], [0.97, -1.7]]"
1.0,0.015,3,0.2298,45.8,0.991,0.61,"[[0.992, -29.6], [0.991, 45.8]]"
1.0,0.015,4,0.3194,77.7,0.981,0.855,"[[0.983, -1.0], [0.981, 77.7]]"
1.0,0.015,5,0.1613,79.2,0.986,0.865,"[[0.986, 79.2], [0.977, 2.2]]"
1.0,0.015,6,0.2348,78.9,0.977,0.856,"[[0.977, 78.9], [0.96, 1.9]]"
1.0,0.015,7,0.1581,81.0,0.972,0.857,"[[0.98, -0.6], [0.972, 81.0]]"
1.0,0.0175,0,0.1582,74.9,0.99,0.853,"[[0.99, 74.9], [0.97, -1.3]]"
1.0,0.0175,1,0.1597,80.0,0.964,0.847,"[[0.964, 80.0], [0.962, 4.5]]"
1.0,0.0175,2,0.1526,77.3,0.985,0.857,"[[0.985, 77.3], [0.972, -0.4]]"
1.0,0.0175,3,0.2225,46.0,0.991,0.612,"[[0.991, 46.0], [0.99, -29.5]]"
1.0,0.0175,4,0.2472,78.6,0.981,0.859,"[[0.981, 78.6], [0.98, -0.5]]"
1.0,0.0175,5,0.2369,79.3,0.988,0.867,"[[0.988, 79.3], [0.977, 2.2]]"
1.0,0.0175,6,0.0913,80.2,0.975,0.857,"[[0.975, 80.2], [0.956, 2.4]]"
1.0,0.0175,7,0.2176,81.2,0.973,0.859,"[[0.981, -0.4], [0.973, 81.2]]"
1.0,0.02,0,0.1598,75.8,0.988,0.855,"[[0.988, 75.8], [0.966, -0.8]]"
1.0,0.02,1,0.1671,80.9,0.958,0.842,"[[0.962, 4.7], [0.958, 80.9]]"
1.0,0.02,2,0.152,78.0,0.985,0.861,"[[0.985, 78.0], [0.973, -0.4]]"
1.0,0.02,3,0.1619,74.0,0.982,0.839,"[[0.982, 74.0], [0.973, -0.0]]"
1.0,0.02,4,0.2418,78.4,0.98,0.857,"[[0.98, 78.4], [0.979, -0.8]]"
1.0,0.02,5,0.1592,46.1,0.983,0.609,"[[0.983, 46.1], [0.979, -26.9]]"
1.0,0.02,6,0.0917,80.8,0.975,0.86,"[[0.975, 80.8], [0.957, 2.5]]"
1.0,0.02,7,0.0952,81.5,0.972,0.859,"[[0.979, -0.5], [0.972, 81.5]]"
1.0,0.025,0,0.3075,77.7,0.989,0.863,"[[0.989, 77.7], [0.97, -0.1]]"
1.0,0.025,1,0.1604,81.5,0.963,0.851,"[[0.963, 81.5], [0.962, 5.0]]"
1.0,0.025,2,0.229,78.3,0.985,0.862,"[[0.985, 78.3], [0.971, -0.3]]"
1.0,0.025,3,0.225,75.4,0.982,0.847,"[[0.982, 75.4], [0.972, 0.4]]"
1.0,0.025,4,0.0894,79.1,0.978,0.857,"[[0.979, -0.5], [0.978, 79.1]]"
1.0,0.025,5,0.2268,81.2,0.987,0.872,"[[0.987, 81.2], [0.977, 2.9]]"
1.0,0.025,6,0.0932,81.4,0.975,0.861,"[[0.975, 81.4], [0.957, 2.5]]"
1.0,0.025,7,0.3052,82.3,0.975,0.864,"[[0.981, -0.2], [0.975, 82.3]]"
1.0,0.03,0,0.1558,78.2,0.988,0.864,"[[0.988, 78.2], [0.967, 0.2]]"
1.0,0.03,1,0.0939,82.6,0.961,0.849,"[[0.962, 5.3], [0.961, 82.6]]"
1.0,0.03,2,0.2794,79.0,0.986,0.865,"[[0.986, 79.0], [0.976, 0.3]]"
1.0,0.03,3,0.0976,46.7,0.99,0.621,"[[0.99, -28.5], [0.99, 46.7]]"
1.0,0.03,4,0.163,80.6,0.979,0.863,"[[0.979, 80.6], [0.978, 0.2]]"
1.0,0.03,5,0.1535,83.0,0.985,0.875,"[[0.985, 83.0], [0.977, 3.8]]"
1.0,0.03,6,0.1685,82.1,0.976,0.864,"[[0.976, 82.1], [0.957, 2.8]]"
1.0,0.03,7,0.158,82.7,0.973,0.862,"[[0.977, 0.0], [0.973, 82.7]]"
1.0,0.04,0,0.2353,79.9,0.988,0.871,"[[0.988, 79.9], [0.968, 0.6]]"
1.0,0.04,1,0.0971,83.7,0.962,0.853,"[[0.963, 5.7], [0.962, 83.7]]"
1.0,0.04,2,0.2417,80.7,0.984,0.867,"[[0.984, 80.7], [0.974, 0.7]]"
1.0,0.04,3,0.2268,78.5,0.982,0.859,"[[0.982, 78.5], [0.976, 1.3]]"
1.0,0.04,4,0.2921,81.9,0.979,0.867,"[[0.979, 0.8], [0.979, 81.9]]"
1.0,0.04,5,0.3087,83.9,0.986,0.877,"[[0.986, 83.9], [0.98, 3.4]]"
1.0,0.04,6,0.2354,82.5,0.978,0.868,"[[0.978, 82.5], [0.959, 2.7]]"
1.0,0.04,7,0.167,84.4,0.972,0.866,"[[0.981, 0.4], [0.972, 84.4]]"
4.0,0.004,0,0.1556,82.8,0.98,0.873,"[[0.98, 82.8], [0.96, -0.5]]"
4.0,0.004,1,0.0893,43.2,0.984,0.573,"[[0.984, 43.2], [0.967, -42.8]]"
4.0,0.004,2,0.2312,36.8,0.983,0.49,"[[0.983, 36.8]]"
4.0,0.004,3,0.157,81.6,0.971,0.859,"[[0.971, 81.6], [0.966, 0.4]]"
4.0,0.004,4,0.1518,84.2,0.976,0.871,"[[0.977, -0.7], [0.976, 84.2]]"
4.0,0.004,5,0.1562,87.2,0.98,0.878,"[[0.98, 87.2], [0.976, 2.9]]"
4.0,0.004,6,0.0913,84.6,0.968,0.862,"[[0.968, 84.6], [0.952, 2.3]]"
4.0,0.004,7,0.1745,84.3,0.971,0.866,"[[0.977, -0.8], [0.971, 84.3]]"
4.0,0.007,0,0.3185,45.3,0.973,0.593,"[[0.978, -39.4], [0.973, 45.3]]"
4.0,0.007,1,0.1608,43.4,0.985,0.577,"[[0.985, 43.4], [0.968, -42.8]]"
4.0,0.007,2,0.2203,82.8,0.979,0.871,"[[0.979, 82.8], [0.968, -0.4]]"
4.0,0.007,3,0.1517,34.2,0.992,0.459,"[[0.992, 34.2]]"
4.0,0.007,4,0.3742,33.4,0.978,0.438,"[[0.978, 33.4]]"
4.0,0.007,5,0.1604,43.2,0.978,0.57,"[[0.978, 43.2], [0.963, -41.1]]"
4.0,0.007,6,0.1651,45.1,0.985,0.597,"[[0.985, 45.1], [0.969, -40.6]]"
4.0,0.007,7,0.1678,45.5,0.979,0.597,"[[0.979, 45.5], [0.976, -38.6]]"
4.0,0.01,0,0.2322,45.5,0.972,0.607,"[[0.976, -38.8], [0.972, 45.5]]"
4.0,0.01,1,0.091,43.4,0.984,0.577,"[[0.984, 43.4], [0.968, -42.6]]"
4.0,0.01,2,0.1597,37.0,0.984,0.492,"[[0.984, 37.0], [0.358, -57.2]]"
4.0,0.01,3,0.223,45.0,0.991,0.601,"[[0.991, 45.0], [0.986, -40.3]]"
4.0,0.01,4,0.0882,84.1,0.976,0.87,"[[0.978, -0.9], [0.976, 84.1]]"
4.0,0.01,5,0.1614,43.4,0.978,0.574,"[[0.978, 43.4], [0.97, -41.1]]"
4.0,0.01,6,0.0907,45.3,0.984,0.598,"[[0.984, 45.3], [0.968, -40.5]]"
4.0,0.01,7,0.1632,85.1,0.972,0.868,"[[0.977, -0.4], [0.972, 85.1]]"
4.0,0.0125,0,0.0947,83.5,0.982,0.875,"[[0.982, 83.5], [0.964, -0.3]]"
4.0,0.0125,1,0.2281,34.3,0.989,0.458,"[[0.989, 34.3]]"
4.0,0.0125,2,0.2257,47.4,0.985,0.626,"[[0.985, 47.4], [0.975, -38.2]]"
4.0,0.0125,3,0.2968,45.2,0.99,0.602,"[[0.99, 45.2], [0.989, -40.1]]"
4.0,0.0125,4,0.0882,84.1,0.976,0.871,"[[0.978, -0.9], [0.976, 84.1]]"
4.0,0.0125,5,0.2334,88.6,0.981,0.879,"[[0.981, 88.6], [0.976, 4.1]]"
4.0,0.0125,6,0.2428,85.5,0.971,0.866,"[[0.971, 85.5], [0.957, 2.4]]"
4.0,0.0125,7,0.3098,45.9,0.979,0.604,"[[0.979, 45.9], [0.974, -38.4]]"
4.0,0.015,0,0.1683,83.8,0.983,0.877,"[[0.983, 83.8], [0.966, -0.1]]"
4.0,0.015,1,0.2304,44.0,0.985,0.584,"[[0.985, 44.0], [0.97, -42.2]]"
4.0,0.015,2,0.1665,83.2,0.977,0.869,"[[0.977, 83.2], [0.964, -0.1]]"
4.0,0.015,3,0.093,45.4,0.99,0.605,"[[0.99, 45.4], [0.987, -39.6]]"
4.0,0.015,4,0.2925,84.2,0.981,0.876,"[[0.981, 84.2], [0.98, -1.2]]"
4.0,0.015,5,0.3036,31.0,0.977,0.403,"[[0.977, 31.0]]"
4.0,0.015,6,0.1598,45.4,0.983,0.6,"[[0.983, 45.4], [0.969, -40.4]]"
4.0,0.015,7,0.2424,84.7,0.973,0.868,"[[0.974, -0.6], [0.973, 84.7]]"
4.0,0.0175,0,0.1743,46.1,0.975,0.603,"[[0.978, -38.4], [0.975, 46.1]]"
4.0,0.0175,1,0.2358,44.1,0.985,0.586,"[[0.985, 44.1], [0.97, -42.1]]"
4.0,0.0175,2,0.2353,47.6,0.984,0.627,"[[0.984, 47.6], [0.98, -37.9]]"
4.0,0.0175,3,0.2252,34.5,0.992,0.462,"[[0.992, 34.5], [0.368, -57.9]]"
4.0,0.0175,4,0.1692,84.2,0.979,0.873,"[[0.979, -1.1], [0.979, 84.2]]"
4.0,0.0175,5,0.2361,44.1,0.98,0.582,"[[0.98, 44.1], [0.972, -40.6]]"
4.0,0.0175,6,0.1678,35.5,0.983,0.472,"[[0.983, 35.5]]"
4.0,0.0175,7,0.2282,85.3,0.973,0.869,"[[0.98, -0.4], [0.973, 85.3]]"
4.0,0.02,0,0.1675,46.3,0.974,0.604,"[[0.977, -38.1], [0.974, 46.3]]"
4.0,0.02,1,0.2298,44.1,0.985,0.586,"[[0.985, 44.1], [0.969, -41.8]]"
4.0,0.02,2,0.1708,83.7,0.978,0.872,"[[0.978, 83.7], [0.969, 0.1]]"
4.0,0.02,3,0.2352,45.6,0.989,0.607,"[[0.989, 45.6], [0.989, -39.6]]"
4.0,0.02,4,0.164,45.7,0.974,0.597,"[[0.978, -38.5], [0.974, 45.7]]"
4.0,0.02,5,0.0861,88.5,0.98,0.879,"[[0.98, 88.5], [0.976, 3.8]]"
4.0,0.02,6,0.231,85.4,0.973,0.869,"[[0.973, 85.4], [0.955, 2.3]]"
4.0,0.02,7,0.3693,85.9,0.976,0.873,"[[0.982, -0.2], [0.976, 85.9]]"
4.0,0.025,0,0.1088,46.6,0.973,0.607,"[[0.977, -37.8], [0.973, 46.6]]"
4.0,0.025,1,0.3119,34.7,0.988,0.464,"[[0.988, 34.7]]"
4.0,0.025,2,0.0917,84.5,0.977,0.872,"[[0.977, 84.5], [0.967, 0.5]]"
4.0,0.025,3,0.1654,46.0,0.989,0.611,"[[0.989, 46.0], [0.988, -39.2]]"
4.0,0.025,4,0.1006,46.0,0.974,0.6,"[[0.976, -37.9], [0.974, 46.0]]"
4.0,0.025,5,0.1573,88.7,0.98,0.879,"[[0.98, 88.7], [0.977, 4.0]]"
4.0,0.025,6,0.2324,46.7,0.985,0.617,"[[0.985, 46.7], [0.968, -39.1]]"
4.0,0.025,7,0.2237,85.6,0.975,0.872,"[[0.979, -0.5], [0.975, 85.6]]"
4.0,0.03,0,0.1623,84.6,0.985,0.881,"[[0.985, 84.6], [0.966, 0.1]]"
4.0,0.03,1,0.2923,87.8,0.957,0.857,"[[0.961, 5.7], [0.957, 87.8]]"
4.0,0.03,2,0.0901,84.2,0.976,0.87,"[[0.976, 84.2], [0.968, 0.5]]"
4.0,0.03,3,0.2354,83.4,0.977,0.87,"[[0.977, 83.4], [0.973, 0.6]]"
4.0,0.03,4,0.0886,85.1,0.978,0.874,"[[0.979, -0.5], [0.978, 85.1]]"
4.0,0.03,5,0.0848,89.0,0.982,0.881,"[[0.982, 89.0], [0.978, 4.1]]"
4.0,0.03,6,0.1595,85.9,0.973,0.871,"[[0.973, 85.9], [0.957, 2.3]]"
4.0,0.03,7,0.2405,86.2,0.974,0.871,"[[0.982, -0.3], [0.974, 86.2]]"
4.0,0.04,0,0.302,85.1,0.988,0.884,"[[0.988, 85.1], [0.968, 0.2]]"
4.0,0.04,1,0.2307,88.3,0.962,0.861,"[[0.966, 5.5], [0.962, 88.3]]"
4.0,0.04,2,0.2392,84.5,0.979,0.874,"[[0.979, 84.5], [0.971, 0.4]]"
4.0,0.04,3,0.2332,84.1,0.979,0.874,"[[0.979, 84.1], [0.971, 1.0]]"
4.0,0.04,4,0.2302,85.6,0.981,0.878,"[[0.981, 85.6], [0.977, -0.2]]"
4.0,0.04,5,0.0874,89.3,0.983,0.881,"[[0.983, 89.3], [0.978, 4.2]]"
4.0,0.04,6,0.1553,86.6,0.974,0.872,"[[0.974, 86.6], [0.959, 3.0]]"
4.0,0.04,7,0.3188,86.6,0.976,0.874,"[[0.981, 0.0], [0.976, 86.6]]"
