p0,beta_mult,eps,seed,phi_func,rho_func,inv
0.2,0.0,0.002,0,46.0,0.98,"[[0.98, 46.0], [0.975, -0.8]]"
0.2,0.0,0.002,1,44.8,0.989,"[[0.989, 44.8], [0.977, 0.5]]"
0.2,0.0,0.002,2,47.3,0.987,"[[0.987, 47.3], [0.983, -1.4]]"
0.2,0.0,0.002,3,44.8,0.992,"[[0.992, 44.8], [0.984, -1.3]]"
0.2,0.0,0.002,4,45.0,0.976,"[[0.983, -0.9], [0.976, 45.0]]"
0.2,0.0,0.002,5,44.7,0.984,"[[0.984, 44.7], [0.982, 1.4]]"
0.2,0.0,0.002,6,46.3,0.989,"[[0.989, 46.3], [0.967, -0.0]]"
0.2,0.0,0.002,7,45.3,0.982,"[[0.985, -1.5], [0.982, 45.3]]"
0.2,0.0,0.01,0,46.4,0.979,"[[0.979, 46.4], [0.974, -0.9]]"
0.2,0.0,0.01,1,45.1,0.989,"[[0.989, 45.1], [0.977, 0.4]]"
0.2,0.0,0.01,2,48.9,0.987,"[[0.987, 48.9], [0.983, -1.6]]"
0.2,0.0,0.01,3,45.2,0.992,"[[0.992, 45.2], [0.983, -1.6]]"
0.2,0.0,0.01,4,45.6,0.976,"[[0.983, -1.1], [0.976, 45.6]]"
0.2,0.0,0.01,5,45.4,0.984,"[[0.984, 45.4], [0.981, 1.3]]"
0.2,0.0,0.01,6,46.5,0.989,"[[0.989, 46.5], [0.975, -0.4]]"
0.2,0.0,0.01,7,45.7,0.982,"[[0.986, -1.6], [0.982, 45.7]]"
0.2,1.0,0.002,0,35.1,0.974,"[[0.974, 35.1]]"
0.2,1.0,0.002,1,43.6,0.986,"[[0.986, 43.6], [0.968, -35.6]]"
0.2,1.0,0.002,2,72.2,0.989,"[[0.989, 72.2], [0.969, -2.8]]"
0.2,1.0,0.002,3,45.0,0.991,"[[0.991, 45.0], [0.99, -30.3]]"
0.2,1.0,0.002,4,72.8,0.979,"[[0.98, -2.1], [0.979, 72.8]]"
0.2,1.0,0.002,5,74.3,0.988,"[[0.988, 74.3], [0.979, 0.7]]"
0.2,1.0,0.002,6,45.3,0.986,"[[0.986, 45.3], [0.973, -33.1]]"
0.2,1.0,0.002,7,45.9,0.98,"[[0.983, -27.9], [0.98, 45.9]]"
0.2,1.0,0.01,0,72.9,0.99,"[[0.99, 72.9], [0.972, -2.0]]"
0.2,1.0,0.01,1,44.1,0.985,"[[0.985, 44.1], [0.973, -35.2]]"
0.2,1.0,0.01,2,75.4,0.987,"[[0.987, 75.4], [0.972, -1.1]]"
0.2,1.0,0.01,3,70.0,0.981,"[[0.981, 70.0], [0.974, -1.6]]"
0.2,1.0,0.01,4,46.1,0.975,"[[0.984, -26.5], [0.975, 46.1]]"
0.2,1.0,0.01,5,76.8,0.988,"[[0.988, 76.8], [0.977, 1.3]]"
0.2,1.0,0.01,6,46.0,0.986,"[[0.986, 46.0], [0.973, -32.8]]"
0.2,1.0,0.01,7,79.0,0.975,"[[0.981, -1.1], [0.975, 79.0]]"
0.2,4.0,0.002,0,82.4,0.983,"[[0.983, 82.4], [0.965, -1.0]]"
0.2,4.0,0.002,1,85.6,0.95,"[[0.953, 4.8], [0.95, 85.6]]"
0.2,4.0,0.002,2,83.0,0.977,"[[0.977, 83.0], [0.968, 0.1]]"
0.2,4.0,0.002,3,44.6,0.99,"[[0.99, 44.6], [0.986, -40.7]]"
0.2,4.0,0.002,4,83.7,0.98,"[[0.98, 83.7], [0.979, -1.2]]"
0.2,4.0,0.002,5,42.8,0.977,"[[0.977, 42.8], [0.968, -41.7]]"
0.2,4.0,0.002,6,45.1,0.984,"[[0.984, 45.1], [0.971, -40.9]]"
0.2,4.0,0.002,7,84.2,0.97,"[[0.976, -0.8], [0.97, 84.2]]"
0.2,4.0,0.01,0,83.3,0.984,"[[0.984, 83.3], [0.966, -0.4]]"
0.2,4.0,0.01,1,34.5,0.99,"[[0.99, 34.5]]"
0.2,4.0,0.01,2,83.1,0.98,"[[0.98, 83.1], [0.97, -0.3]]"
0.2,4.0,0.01,3,82.1,0.975,"[[0.975, 82.1], [0.968, 0.4]]"
0.2,4.0,0.01,4,84.2,0.977,"[[0.977, -0.7], [0.977, 84.2]]"
0.2,4.0,0.01,5,88.1,0.979,"[[0.979, 88.1], [0.977, 3.6]]"
0.2,4.0,0.01,6,84.6,0.97,"[[0.97, 84.6], [0.95, 2.0]]"
0.2,4.0,0.01,7,84.7,0.973,"[[0.98, -0.8], [0.973, 84.7]]"
0.35,0.0,0.002,0,47.0,0.978,"[[0.978, 47.0], [0.97, -1.0]]"
0.35,0.0,0.002,1,45.7,0.987,"[[0.987, 45.7], [0.97, 0.3]]"
0.35,0.0,0.002,2,48.4,0.985,"[[0.985, 48.4], [0.978, -1.9]]"
0.35,0.0,0.002,3,45.7,0.991,"[[0.991, 45.7], [0.979, -1.5]]"
0.35,0.0,0.002,4,46.0,0.976,"[[0.98, -1.2], [0.976, 46.0]]"
0.35,0.0,0.002,5,45.9,0.983,"[[0.983, 45.9], [0.978, 1.6]]"
0.35,0.0,0.002,6,47.3,0.987,"[[0.987, 47.3], [0.964, -0.3]]"
0.35,0.0,0.002,7,46.3,0.981,"[[0.981, 46.3], [0.98, -2.0]]"
0.35,0.0,0.01,0,47.6,0.978,"[[0.978, 47.6], [0.97, -1.2]]"
0.35,0.0,0.01,1,46.0,0.987,"[[0.987, 46.0], [0.97, 0.0]]"
0.35,0.0,0.01,2,49.9,0.986,"[[0.986, 49.9], [0.978, -1.9]]"
0.35,0.0,0.01,3,46.1,0.991,"[[0.991, 46.1], [0.979, -1.7]]"
0.35,0.0,0.01,4,46.7,0.975,"[[0.979, -1.4], [0.975, 46.7]]"
0.35,0.0,0.01,5,46.5,0.984,"[[0.984, 46.5], [0.979, 1.3]]"
0.35,0.0,0.01,6,47.7,0.988,"[[0.988, 47.7], [0.964, -0.6]]"
0.35,0.0,0.01,7,46.8,0.981,"[[0.981, 46.8], [0.98, -2.1]]"
0.35,1.0,0.002,0,69.4,0.992,"[[0.992, 69.4], [0.969, -2.4]]"
0.35,1.0,0.002,1,72.1,0.982,"[[0.982, 72.1], [0.96, 1.0]]"
0.35,1.0,0.002,2,72.5,0.991,"[[0.991, 72.5], [0.97, -2.3]]"
0.35,1.0,0.002,3,67.8,0.988,"[[0.988, 67.8], [0.977, -2.0]]"
0.35,1.0,0.002,4,74.1,0.983,"[[0.983, 74.1], [0.977, -1.7]]"
0.35,1.0,0.002,5,75.4,0.99,"[[0.99, 75.4], [0.976, 1.8]]"
0.35,1.0,0.002,6,46.3,0.984,"[[0.984, 46.3], [0.969, -26.5]]"
0.35,1.0,0.002,7,77.1,0.978,"[[0.979, -1.6], [0.978, 77.1]]"
0.35,1.0,0.01,0,72.9,0.992,"[[0.992, 72.9], [0.968, -1.7]]"
0.35,1.0,0.01,1,44.4,0.981,"[[0.981, 44.4], [0.966, -29.3]]"
0.35,1.0,0.01,2,74.5,0.989,"[[0.989, 74.5], [0.974, -1.7]]"
0.35,1.0,0.01,3,71.6,0.987,"[[0.987, 71.6], [0.973, -1.1]]"
0.35,1.0,0.01,4,76.2,0.982,"[[0.982, 76.2], [0.98, -1.7]]"
0.35,1.0,0.01,5,77.1,0.992,"[[0.992, 77.1], [0.978, 0.5]]"
0.35,1.0,0.01,6,77.8,0.984,"[[0.984, 77.8], [0.96, 0.8]]"
0.35,1.0,0.01,7,78.7,0.976,"[[0.978, -1.5], [0.976, 78.7]]"
0.35,4.0,0.002,0,45.3,0.969,"[[0.972, -36.8], [0.969, 45.3]]"
0.35,4.0,0.002,1,86.3,0.965,"[[0.965, 86.3], [0.962, 3.9]]"
0.35,4.0,0.002,2,81.8,0.981,"[[0.981, 81.8], [0.962, -1.2]]"
0.35,4.0,0.002,3,82.1,0.979,"[[0.979, 82.1], [0.971, -0.4]]"
0.35,4.0,0.002,4,84.0,0.982,"[[0.982, 84.0], [0.976, -0.7]]"
0.35,4.0,0.002,5,86.8,0.986,"[[0.986, 86.8], [0.976, 2.4]]"
0.35,4.0,0.002,6,84.3,0.975,"[[0.975, 84.3], [0.952, 1.4]]"
0.35,4.0,0.002,7,84.3,0.977,"[[0.977, 84.3], [0.975, -0.9]]"
0.35,4.0,0.01,0,83.1,0.989,"[[0.989, 83.1], [0.963, -0.8]]"
0.35,4.0,0.01,1,86.9,0.962,"[[0.962, 86.9], [0.959, 4.2]]"
0.35,4.0,0.01,2,82.4,0.983,"[[0.983, 82.4], [0.967, -1.1]]"
0.35,4.0,0.01,3,82.7,0.982,"[[0.982, 82.7], [0.973, -0.1]]"
0.35,4.0,0.01,4,84.1,0.981,"[[0.981, 84.1], [0.974, -0.9]]"
0.35,4.0,0.01,5,87.7,0.986,"[[0.986, 87.7], [0.975, 3.1]]"
0.35,4.0,0.01,6,84.5,0.978,"[[0.978, 84.5], [0.945, 1.8]]"
0.35,4.0,0.01,7,85.0,0.977,"[[0.978, -0.8], [0.977, 85.0]]"
