m,eps,seed,absorbed,cos_comp,cos_child,par_idx,comp_idx,distinct,tp_cos,tp_lift,rate_par,rate_comp,n_flagged,tp_flagged,child_res_cos,rho_hat,comp_fire_joint,comp_fire_psolo,par_fire_joint,par_fire_psolo
128,0.002,8,1,0.9946,0.7443,67,85,1,0.5843,1.9367,0.35803,0.34827,4,1,0.9891,0.74927,1.0,0.6299,0.5795,0.9978
128,0.002,9,1,0.9954,0.7435,85,4,1,0.5922,2.0069,0.34318,0.34728,4,1,0.6608,0.76046,1.0,0.63,0.5638,0.998
128,0.002,10,1,0.995,0.7469,57,52,1,0.5894,1.9792,0.35848,0.34519,4,1,0.9902,0.75244,0.9978,0.6165,0.6055,1.0
128,0.002,11,1,0.9942,0.7501,47,51,1,0.5866,1.9159,0.3579,0.3572,4,1,0.9898,0.75974,1.0,0.6192,0.601,1.0
128,0.002,12,1,0.9953,0.7474,41,76,1,0.5951,2.0345,0.3482,0.34182,4,1,0.99,0.76322,1.0,0.6179,0.592,1.0
128,0.002,13,1,0.9953,0.7391,63,97,1,0.5976,1.9561,0.34863,0.34225,4,1,0.9897,0.74813,1.0,0.6119,0.5535,0.9982
128,0.002,14,1,0.9937,0.749,94,101,1,0.5812,1.9741,0.35701,0.35101,4,1,0.9892,0.762,1.0,0.6367,0.6034,0.998
128,0.002,15,1,0.9944,0.7475,91,121,1,0.5835,1.9623,0.35136,0.35632,4,1,0.6555,0.76052,1.0,0.6304,0.593,1.0
128,0.002,16,1,0.9939,0.7458,91,39,1,0.5887,1.9962,0.35792,0.34244,4,1,0.989,0.75146,1.0,0.6229,0.6039,0.9983
128,0.002,17,1,0.9956,0.7429,38,49,1,0.6019,1.959,0.35317,0.34073,4,1,0.9907,0.74369,1.0,0.6011,0.574,1.0
128,0.002,18,1,0.9935,0.7475,57,78,1,0.5804,1.978,0.35247,0.35241,4,1,0.9887,0.76746,1.0,0.647,0.5778,1.0
128,0.002,19,1,0.9955,0.7462,28,116,1,0.587,1.947,0.35108,0.35084,4,1,0.99,0.75921,1.0,0.6294,0.5719,0.9977
128,0.002,20,1,0.9944,0.744,1,109,1,0.5981,1.9715,0.35634,0.33965,4,1,0.9892,0.74261,0.9978,0.5985,0.5947,0.9981
128,0.002,21,1,0.994,0.7519,69,16,1,0.5795,1.9937,0.35911,0.34768,4,1,0.99,0.75934,1.0,0.6229,0.6162,1.0
128,0.002,22,1,0.9947,0.7455,80,50,1,0.5948,2.0095,0.34978,0.33877,4,1,0.9908,0.7521,1.0,0.5925,0.5992,0.9983
128,0.002,23,1,0.9934,0.7487,27,103,1,0.5782,2.0034,0.35702,0.35568,4,1,0.9876,0.77609,1.0,0.647,0.6233,1.0
128,0.002,24,1,0.9953,0.745,87,107,1,0.5956,1.9986,0.34863,0.33817,4,1,0.9913,0.74954,1.0,0.5936,0.5836,0.998
128,0.002,25,1,0.994,0.7529,68,109,1,0.5806,1.9842,0.35749,0.34549,4,1,0.9906,0.75449,0.998,0.6247,0.5971,0.9983
128,0.002,26,1,0.9948,0.7483,31,98,1,0.5884,1.9712,0.35783,0.33889,4,1,0.9898,0.74046,1.0,0.596,0.6007,0.9982
128,0.002,27,1,0.9956,0.7447,10,71,1,0.5967,1.956,0.35452,0.34537,5,1,0.9901,0.75015,1.0,0.6096,0.5836,0.998
128,0.002,28,1,0.9946,0.7476,1,105,1,0.5899,1.9519,0.35369,0.3465,4,1,0.9909,0.75167,1.0,0.6056,0.5839,1.0
128,0.002,29,1,0.9931,0.7434,111,65,1,0.5893,1.9811,0.35002,0.35506,4,1,0.6555,0.76278,0.9978,0.6294,0.5984,1.0
128,0.002,30,1,0.9951,0.7508,28,3,1,0.587,1.9921,0.35958,0.34208,4,1,0.991,0.74914,1.0,0.6142,0.6092,1.0
128,0.002,31,1,0.995,0.751,13,23,1,0.5826,1.9519,0.3575,0.35242,4,1,0.9898,0.75954,0.998,0.6183,0.6079,1.0
128,0.05,8,0,0.8686,0.9548,53,125,1,0.2787,1.6348,0.45211,0.32799,3,0,,,1.0,0.1954,0.998,0.9978
128,0.05,9,0,0.8722,0.9547,64,114,1,0.2853,1.6744,0.44354,0.32599,3,0,,,0.998,0.1907,0.998,0.998
128,0.05,10,0,0.8846,0.9463,0,24,1,0.3083,1.6759,0.45031,0.32543,3,0,,,1.0,0.216,0.9977,0.9982
128,0.05,11,0,0.8617,0.9604,122,103,1,0.275,1.6037,0.45105,0.33979,3,0,,,1.0,0.1994,0.9999,1.0
128,0.05,12,0,0.8735,0.9538,66,93,1,0.2958,1.6835,0.44344,0.31998,3,0,,,1.0,0.1836,0.9999,1.0
128,0.05,13,0,0.8776,0.9477,118,47,1,0.3008,1.6803,0.44881,0.31938,3,0,,,1.0,0.1856,0.998,0.9982
128,0.05,14,0,0.8752,0.9526,90,60,1,0.2827,1.6617,0.44722,0.32732,3,0,,,1.0,0.2047,0.998,0.998
128,0.05,15,0,0.8754,0.9506,11,62,1,0.2935,1.6532,0.44647,0.33444,3,0,,,1.0,0.2123,0.9998,1.0
256,0.002,8,1,0.9942,0.7377,124,251,1,0.6015,2.0372,0.32743,0.3313,10,1,0.6653,0.74801,1.0,0.5941,0.5157,0.9978
256,0.002,9,1,0.9951,0.7372,37,86,1,0.608,2.0747,0.31919,0.3262,7,1,0.6664,0.74339,1.0,0.5823,0.4978,0.998
256,0.002,10,1,0.995,0.7401,102,225,1,0.6047,2.0636,0.33058,0.32834,12,1,0.9902,0.75494,1.0,0.5843,0.5349,0.9982
256,0.002,11,1,0.994,0.7432,227,125,1,0.6061,2.0221,0.33576,0.32849,12,1,0.9898,0.7445,1.0,0.5649,0.5509,1.0
256,0.002,12,1,0.9953,0.7413,236,164,1,0.6117,2.0992,0.328,0.31714,11,1,0.9899,0.74311,1.0,0.5554,0.5371,1.0
256,0.002,13,1,0.9944,0.7319,91,255,1,0.6122,2.0331,0.31956,0.32395,10,1,0.6707,0.73795,1.0,0.5709,0.4837,0.9982
256,0.002,14,1,0.9935,0.744,190,18,1,0.5967,2.0764,0.33487,0.32615,12,1,0.9894,0.75107,1.0,0.581,0.5581,0.998
256,0.002,15,1,0.9941,0.7415,141,12,1,0.5994,2.052,0.33194,0.32848,11,1,0.9899,0.75223,1.0,0.5764,0.5409,1.0
256,0.002,16,1,0.9938,0.7378,129,232,1,0.6075,2.0655,0.33087,0.32022,12,1,0.9892,0.74083,1.0,0.5626,0.5368,0.9983
256,0.002,17,1,0.9954,0.7376,27,17,1,0.6151,2.028,0.33071,0.32174,13,1,0.9904,0.7368,1.0,0.5537,0.5235,1.0
256,0.002,18,1,0.9935,0.741,125,41,1,0.6002,2.0677,0.32871,0.32641,8,1,0.99,0.75335,1.0,0.5861,0.5217,1.0
256,0.002,19,1,0.9947,0.741,193,15,1,0.6015,2.0295,0.32875,0.32411,14,1,0.9904,0.74234,1.0,0.5699,0.5162,0.9977
256,0.002,20,1,0.9944,0.7353,241,213,1,0.6188,2.0365,0.32242,0.31838,14,1,0.9893,0.73742,1.0,0.5452,0.5033,0.9981
256,0.002,21,1,0.9942,0.7477,93,195,1,0.592,2.0791,0.33572,0.32762,11,1,0.9908,0.75374,1.0,0.5777,0.5632,0.9981
256,0.002,22,1,0.9947,0.7383,189,23,1,0.6123,2.0657,0.32929,0.31675,9,1,0.991,0.73564,1.0,0.5405,0.5401,0.9983
256,0.002,23,1,0.9931,0.7421,62,193,1,0.597,2.1143,0.3336,0.33347,10,1,0.9879,0.77217,1.0,0.6056,0.5706,0.9981
256,0.002,24,1,0.9951,0.739,87,68,1,0.6093,2.0397,0.33085,0.32034,12,1,0.9911,0.7364,1.0,0.5451,0.5359,0.998
256,0.002,25,1,0.9936,0.7476,59,225,1,0.595,2.0648,0.33198,0.32561,10,1,0.9909,0.74958,1.0,0.5762,0.5408,0.9983
256,0.002,26,1,0.9944,0.7415,224,121,1,0.6065,2.0412,0.33399,0.31879,14,1,0.99,0.73211,1.0,0.546,0.543,0.9982
256,0.002,27,1,0.9956,0.7375,67,14,1,0.6147,2.0298,0.32593,0.32442,9,1,0.9905,0.74454,1.0,0.5614,0.5105,0.998
256,0.002,28,1,0.9945,0.7403,107,111,1,0.6078,2.0346,0.32649,0.32667,7,1,0.6635,0.74856,1.0,0.5633,0.5186,1.0
256,0.002,29,1,0.992,0.736,151,107,1,0.6046,2.0715,0.32926,0.331,12,1,0.6619,0.75779,1.0,0.5836,0.5432,1.0
256,0.002,30,1,0.995,0.7438,15,177,1,0.606,2.06,0.33312,0.32412,9,1,0.9916,0.7454,1.0,0.5689,0.5426,1.0
256,0.002,31,1,0.9952,0.7427,33,191,1,0.606,2.0247,0.32888,0.32941,11,1,0.6601,0.74927,0.998,0.5695,0.5241,0.9982
256,0.05,8,0,0.8653,0.9546,182,167,1,0.2819,1.7468,0.4331,0.30582,10,0,,,1.0,0.1531,0.998,0.9978
256,0.05,9,0,0.8741,0.9524,234,211,1,0.2908,1.7832,0.43054,0.30222,7,0,,,1.0,0.1517,0.998,0.998
256,0.05,10,0,0.8847,0.9443,98,107,1,0.3154,1.7741,0.43587,0.30347,7,0,,,1.0,0.1719,0.9978,0.9982
256,0.05,11,0,0.8607,0.9589,201,45,1,0.279,1.7161,0.43672,0.30949,9,0,,,1.0,0.1486,1.0,1.0
256,0.05,12,0,0.8762,0.951,214,222,1,0.3062,1.8041,0.42908,0.29375,11,0,,,1.0,0.1366,0.9999,1.0
256,0.05,13,0,0.8751,0.9457,3,76,1,0.3033,1.7767,0.43304,0.30199,13,0,,,1.0,0.1499,1.0,1.0
256,0.05,14,0,0.8762,0.9499,3,230,1,0.2888,1.7693,0.4351,0.3018,8,0,,,1.0,0.1579,0.998,0.998
256,0.05,15,0,0.8764,0.9485,115,185,1,0.2967,1.757,0.43583,0.30462,9,0,,,1.0,0.1602,0.9999,1.0
